,Date,Open,High,Low,Close
113,2020-07-22,"1,350.15","1,364.58","1,350.15","1,357.90"
112,2020-07-23,"1,358.33","1,375.90","1,336.22","1,342.93"
111,2020-07-24,"1,341.51","1,341.51","1,317.30","1,330.13"
110,2020-07-27,"1,331.72","1,353.23","1,331.72","1,352.35"
109,2020-07-28,"1,352.64","1,352.64","1,336.32","1,336.81"
108,2020-07-29,"1,338.20","1,368.28","1,338.20","1,364.05"
107,2020-07-30,"1,362.06","1,373.52","1,346.68","1,370.16"
106,2020-07-31,"1,370.92","1,377.07","1,354.56","1,377.05"
105,2020-08-03,"1,381.28","1,397.91","1,381.28","1,395.75"
104,2020-08-04,"1,395.58","1,398.07","1,387.22","1,397.97"
103,2020-08-05,"1,399.37","1,406.51","1,397.33","1,403.52"
102,2020-08-06,"1,402.38","1,402.41","1,384.97","1,393.94"
101,2020-08-07,"1,390.65","1,392.06","1,366.83","1,378.97"
100,2020-08-10,"1,380.15","1,381.13","1,354.18","1,365.03"
99,2020-08-11,"1,364.31","1,372.40","1,350.71","1,351.92"
98,2020-08-12,"1,353.14","1,372.20","1,353.14","1,367.13"
97,2020-08-13,"1,367.03","1,387.32","1,367.03","1,380.32"
96,2020-08-14,"1,380.41","1,382.86","1,370.88","1,374.30"
95,2020-08-17,"1,377.75","1,391.89","1,377.75","1,390.56"
94,2020-08-18,"1,392.45","1,396.06","1,383.66","1,392.61"
93,2020-08-19,"1,394.19","1,395.49","1,382.03","1,383.35"
92,2020-08-20,"1,381.74","1,390.89","1,374.54","1,388.14"
91,2020-08-21,"1,387.94","1,388.22","1,381.69","1,384.84"
90,2020-08-24,"1,390.61","1,395.23","1,377.58","1,383.62"
89,2020-08-25,"1,383.50","1,390.70","1,379.04","1,390.55"
88,2020-08-26,"1,391.58","1,409.16","1,391.58","1,406.48"
87,2020-08-27,"1,405.93","1,411.17","1,394.64","1,401.82"
86,2020-08-28,"1,404.12","1,412.28","1,404.12","1,409.10"
85,2020-08-31,"1,408.97","1,417.89","1,406.33","1,413.70"
84,2020-09-01,"1,415.60","1,436.81","1,415.60","1,436.71"
83,2020-09-02,"1,438.02","1,455.08","1,427.96","1,453.14"
82,2020-09-03,"1,452.41","1,452.41","1,375.99","1,386.18"
81,2020-09-04,"1,385.34","1,387.14","1,319.44","1,355.88"
80,2020-09-08,"1,354.74","1,354.74","1,319.24","1,324.96"
79,2020-09-09,"1,325.07","1,356.91","1,325.07","1,349.59"
78,2020-09-10,"1,349.86","1,368.08","1,329.51","1,332.81"
77,2020-09-11,"1,334.04","1,344.00","1,312.20","1,324.64"
76,2020-09-14,"1,327.44","1,356.82","1,327.44","1,352.94"
75,2020-09-15,"1,354.26","1,371.05","1,354.26","1,366.85"
74,2020-09-16,"1,367.99","1,378.16","1,360.20","1,361.00"
73,2020-09-17,"1,357.76","1,357.76","1,332.93","1,349.74"
72,2020-09-18,"1,350.29","1,359.23","1,327.55","1,344.94"
71,2020-09-21,"1,342.69","1,345.13","1,316.15","1,344.91"
70,2020-09-22,"1,345.86","1,364.42","1,338.50","1,363.54"
69,2020-09-23,"1,363.48","1,369.09","1,336.54","1,338.00"
68,2020-09-24,"1,336.61","1,347.59","1,319.20","1,334.38"
67,2020-09-25,"1,334.04","1,366.70","1,331.58","1,363.01"
66,2020-09-28,"1,364.66","1,388.12","1,364.66","1,385.20"
65,2020-09-29,"1,385.55","1,396.07","1,384.61","1,386.23"
64,2020-09-30,"1,386.16","1,405.09","1,384.56","1,393.33"
63,2020-10-01,"1,394.30","1,415.81","1,394.30","1,412.56"
62,2020-10-02,"1,411.13","1,411.84","1,389.31","1,399.72"
61,2020-10-05,"1,401.85","1,427.35","1,401.85","1,426.81"
60,2020-10-06,"1,426.84","1,446.00","1,416.83","1,419.76"
59,2020-10-07,"1,422.29","1,450.91","1,422.29","1,448.09"
58,2020-10-08,"1,450.01","1,459.30","1,450.01","1,456.84"
57,2020-10-09,"1,458.98","1,480.36","1,458.98","1,476.08"
56,2020-10-12,"1,486.02","1,496.20","1,481.28","1,490.72"
55,2020-10-13,"1,490.44","1,506.46","1,490.20","1,502.06"
54,2020-10-14,"1,503.44","1,510.38","1,486.28","1,492.07"
53,2020-10-15,"1,489.39","1,494.90","1,466.39","1,492.36"
52,2020-10-16,"1,494.60","1,505.37","1,490.08","1,490.10"
51,2020-10-19,"1,491.68","1,504.70","1,470.27","1,473.29"
50,2020-10-20,"1,476.51","1,487.23","1,471.55","1,471.62"
49,2020-10-21,"1,472.28","1,482.17","1,458.33","1,458.64"
48,2020-10-22,"1,459.06","1,470.15","1,447.40","1,465.94"
47,2020-10-23,"1,468.23","1,479.39","1,464.44","1,479.37"
46,2020-10-26,"1,475.35","1,475.35","1,437.82","1,454.24"
45,2020-10-27,"1,455.37","1,468.46","1,455.05","1,455.98"
44,2020-10-28,"1,453.43","1,453.43","1,413.63","1,415.69"
43,2020-10-29,"1,416.10","1,435.15","1,413.91","1,423.37"
42,2020-10-30,"1,421.41","1,421.41","1,383.28","1,394.60"
41,2020-11-02,"1,396.51","1,419.41","1,389.03","1,405.28"
40,2020-11-03,"1,408.06","1,443.19","1,408.06","1,437.85"
39,2020-11-04,"1,443.72","1,501.59","1,443.72","1,489.90"
38,2020-11-05,"1,492.21","1,523.94","1,492.21","1,520.81"
37,2020-11-06,"1,520.91","1,533.26","1,515.23","1,530.04"
36,2020-11-09,"1,532.53","1,544.26","1,494.58","1,494.96"
35,2020-11-10,"1,494.50","1,494.50","1,452.57","1,475.34"
34,2020-11-11,"1,478.18","1,506.52","1,478.18","1,505.38"
33,2020-11-12,"1,505.54","1,512.38","1,488.85","1,496.17"
32,2020-11-13,"1,497.14","1,513.36","1,497.14","1,506.00"
31,2020-11-16,"1,507.87","1,518.50","1,504.45","1,517.54"
30,2020-11-17,"1,517.31","1,523.61","1,505.66","1,519.93"
29,2020-11-18,"1,520.11","1,522.78","1,504.96","1,505.09"
28,2020-11-19,"1,504.96","1,529.19","1,502.81","1,526.34"
27,2020-11-20,"1,526.62","1,539.66","1,526.62","1,530.53"
26,2020-11-23,"1,531.01","1,542.76","1,527.42","1,537.75"
25,2020-11-24,"1,538.46","1,544.65","1,532.78","1,534.66"
24,2020-11-25,"1,534.80","1,547.71","1,534.80","1,546.09"
23,2020-11-27,"1,547.23","1,568.34","1,547.23","1,568.14"
22,2020-11-30,"1,568.77","1,581.27","1,551.56","1,580.86"
21,2020-12-01,"1,582.03","1,592.15","1,576.70","1,584.54"
20,2020-12-02,"1,583.44","1,583.44","1,563.42","1,574.84"
19,2020-12-03,"1,576.34","1,595.03","1,575.66","1,584.94"
18,2020-12-04,"1,585.09","1,604.90","1,585.09","1,603.37"
17,2020-12-07,"1,603.26","1,608.87","1,602.43","1,605.92"
16,2020-12-08,"1,606.39","1,620.31","1,605.20","1,618.71"
15,2020-12-09,"1,618.90","1,620.69","1,582.31","1,590.46"
14,2020-12-10,"1,590.08","1,608.70","1,578.92","1,607.46"
13,2020-12-11,"1,606.96","1,615.58","1,594.50","1,610.58"
12,2020-12-14,"1,611.15","1,634.60","1,611.15","1,615.26"
11,2020-12-15,"1,616.53","1,634.83","1,616.53","1,633.30"
10,2020-12-16,"1,634.11","1,639.97","1,628.17","1,638.29"
9,2020-12-17,"1,639.57","1,665.38","1,639.57","1,665.38"
8,2020-12-18,"1,666.11","1,677.52","1,665.57","1,676.95"
7,2020-12-21,"1,676.39","1,676.39","1,644.53","1,674.37"
6,2020-12-22,"1,675.41","1,690.71","1,674.15","1,690.39"
5,2020-12-23,"1,691.46","1,696.04","1,679.85","1,679.85"
4,2020-12-24,"1,683.16","1,688.59","1,675.71","1,681.42"
3,2020-12-28,"1,688.15","1,696.81","1,660.41","1,660.70"
2,2020-12-29,"1,660.90","1,670.87","1,640.06","1,649.54"
1,2020-12-30,"1,654.16","1,663.90","1,654.16","1,657.08"
0,2020-12-31,"1,658.45","1,658.59","1,645.46","1,655.93"
251,2021-01-04,"1,656.72","1,663.57","1,612.08","1,631.28"
250,2021-01-05,"1,656.72","1,663.57","1,612.08","1,645.40"
249,2021-01-06,"1,643.73","1,660.98","1,628.18","1,645.38"
248,2021-01-07,"1,646.10","1,693.65","1,646.10","1,692.07"
247,2021-01-08,"1,692.38","1,716.33","1,689.35","1,707.32"
246,2021-01-11,"1,705.67","1,714.06","1,687.98","1,703.21"
245,2021-01-12,"1,703.50","1,716.43","1,702.01","1,715.35"
244,2021-01-13,"1,715.44","1,717.91","1,704.13","1,707.06"
243,2021-01-14,"1,707.37","1,721.74","1,702.31","1,703.81"
242,2021-01-15,"1,703.76","1,706.76","1,681.30","1,692.05"
241,2021-01-19,"1,694.42","1,709.63","1,694.42","1,708.23"
240,2021-01-20,"1,709.08","1,730.37","1,709.08","1,727.29"
239,2021-01-21,"1,728.38","1,735.09","1,719.98","1,724.21"
238,2021-01-22,"1,723.72","1,725.34","1,715.96","1,723.00"
237,2021-01-25,"1,723.58","1,739.75","1,695.06","1,718.91"
236,2021-01-26,"1,719.24","1,725.10","1,695.29","1,696.05"
235,2021-01-27,"1,693.39","1,693.39","1,640.21","1,645.02"
234,2021-01-28,"1,645.86","1,686.76","1,645.86","1,673.81"
233,2021-01-29,"1,673.60","1,673.60","1,636.43","1,650.13"
232,2021-02-01,"1,650.75","1,683.70","1,650.75","1,681.38"
231,2021-02-02,"1,682.13","1,720.76","1,682.13","1,717.41"
230,2021-02-03,"1,717.24","1,721.91","1,702.53","1,706.43"
229,2021-02-04,"1,707.05","1,733.67","1,707.05","1,733.56"
228,2021-02-05,"1,733.64","1,751.37","1,733.64","1,751.18"
227,2021-02-08,"1,751.39","1,773.14","1,751.39","1,767.26"
226,2021-02-09,"1,767.15","1,779.69","1,766.21","1,775.61"
225,2021-02-10,"1,776.74","1,792.97","1,761.19","1,777.32"
224,2021-02-11,"1,777.62","1,791.92","1,775.61","1,789.66"
223,2021-02-12,"1,789.07","1,806.82","1,780.34","1,806.62"
222,2021-02-16,"1,806.85","1,815.86","1,783.03","1,791.14"
221,2021-02-17,"1,790.88","1,790.88","1,754.81","1,777.33"
220,2021-02-18,"1,775.95","1,777.53","1,749.47","1,769.65"
219,2021-02-19,"1,770.66","1,795.12","1,770.66","1,783.07"
218,2021-02-22,"1,782.31","1,782.31","1,724.04","1,724.97"
