iShares Russell Mid-Cap Growth ETF
Fund Holdings as of,"Jan 07, 2026"
Inception Date,"Jul 17, 2001"
Shares Outstanding,"149,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CHWY","CHEWY INC CLASS A","Consumer Discretionary","Equity","48,119,008.00","0.23","48,119,008.00","1,503,719.00","32.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAVA","CAVA GROUP INC","Consumer Discretionary","Equity","46,937,368.80","0.22","46,937,368.80","691,272.00","67.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUOL","DUOLINGO INC CLASS A","Consumer Discretionary","Equity","46,146,172.40","0.22","46,146,172.40","261,748.00","176.30","United States","NASDAQ","USD","1.00","USD","-"
"TEM","TEMPUS AI INC CLASS A","Health Care","Equity","46,125,226.08","0.22","46,125,226.08","661,104.00","69.77","United States","NASDAQ","USD","1.00","USD","-"
"EXLS","EXLSERVICE HOLDINGS INC","Industrials","Equity","45,412,333.02","0.22","45,412,333.02","1,062,774.00","42.73","United States","NASDAQ","USD","1.00","USD","-"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","43,226,934.66","0.20","43,226,934.66","1,089,114.00","39.69","United States","NASDAQ","USD","1.00","USD","-"
"DOCS","DOXIMITY INC CLASS A","Health Care","Equity","42,947,090.08","0.20","42,947,090.08","923,792.00","46.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKTA","OKTA INC CLASS A","Information Technology","Equity","42,591,536.16","0.20","42,591,536.16","453,874.00","93.84","United States","NASDAQ","USD","1.00","USD","-"
"MASI","MASIMO CORP","Health Care","Equity","42,567,178.24","0.20","42,567,178.24","310,528.00","137.08","United States","NASDAQ","USD","1.00","USD","-"
"PCTY","PAYLOCITY HOLDING CORP","Industrials","Equity","42,437,201.73","0.20","42,437,201.73","276,951.00","153.23","United States","NASDAQ","USD","1.00","USD","-"
"RBRK","RUBRIK INC CLASS A","Information Technology","Equity","42,230,456.25","0.20","42,230,456.25","549,375.00","76.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","42,026,329.95","0.20","42,026,329.95","348,911.00","120.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHDN","CHURCHILL DOWNS INC","Consumer Discretionary","Equity","41,917,076.00","0.20","41,917,076.00","383,575.00","109.28","United States","NASDAQ","USD","1.00","USD","-"
"FWONK","LIBERTY MEDIA FORMULA ONE SERIES C","Communication","Equity","41,765,445.84","0.20","41,765,445.84","450,447.00","92.72","United States","NASDAQ","USD","1.00","USD","-"
"TKO","TKO GROUP HOLDINGS INC CLASS A","Communication","Equity","41,161,916.78","0.20","41,161,916.78","202,858.00","202.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNM","CORE & MAIN INC CLASS A","Industrials","Equity","40,595,297.25","0.19","40,595,297.25","762,353.00","53.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AU","ANGLOGOLD ASHANTI PLC","Materials","Equity","39,054,947.02","0.19","39,054,947.02","421,123.00","92.74","South Africa","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","37,647,464.86","0.18","37,647,464.86","226,342.00","166.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MKL","MARKEL GROUP INC","Financials","Equity","37,630,140.60","0.18","37,630,140.60","17,540.00","2,145.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","36,830,476.80","0.17","36,830,476.80","149,760.00","245.93","United States","NASDAQ","USD","1.00","USD","-"
"RYAN","RYAN SPECIALTY HOLDINGS INC CLASS","Financials","Equity","36,821,511.40","0.17","36,821,511.40","732,038.00","50.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
